content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,tokens,tokens_no_stopwords,tokens_stemmed,final_content,tokens_final,final_content_v2,sentiment
"apk ini cukup memuaskan 1. menjauhi calo tiket, harga relatif murah ketentuan dari pusat nya di sebelah dgn bus yang tidak memadai di patok harga mahal karena agen nya pun main harga 2. pelayanan kru nya biasa aja kediri to bandung",5,0,2.16.0,2025-09-21 12:59:22,apk ini cukup memuaskan menjauhi calo tiket harga relatif murah ketentuan dari pusat nya di sebelah dgn bus yang tidak memadai di patok harga mahal karena agen nya pun main harga pelayanan kru nya biasa aja kediri to bandung,"['apk', 'ini', 'cukup', 'memuaskan', 'menjauhi', 'calo', 'tiket', 'harga', 'relatif', 'murah', 'ketentuan', 'dari', 'pusat', 'nya', 'di', 'sebelah', 'dgn', 'bus', 'yang', 'tidak', 'memadai', 'di', 'patok', 'harga', 'mahal', 'karena', 'agen', 'nya', 'pun', 'main', 'harga', 'pelayanan', 'kru', 'nya', 'biasa', 'aja', 'kediri', 'to', 'bandung']","['apk', 'memuaskan', 'menjauhi', 'calo', 'tiket', 'harga', 'relatif', 'murah', 'ketentuan', 'pusat', 'sebelah', 'dgn', 'bus', 'memadai', 'patok', 'harga', 'mahal', 'agen', 'main', 'harga', 'pelayanan', 'kru', 'aja', 'kediri', 'to', 'bandung']","['apk', 'muas', 'jauh', 'calo', 'tiket', 'harga', 'relatif', 'murah', 'tentu', 'pusat', 'belah', 'dgn', 'bus', 'pada', 'patok', 'harga', 'mahal', 'agen', 'main', 'harga', 'layan', 'kru', 'aja', 'diri', 'to', 'bandung']",apk muas jauh calo tiket harga relatif murah tentu pusat belah dgn bus pada patok harga mahal agen main harga layan kru aja diri to bandung,"['apk', 'muas', 'calo', 'tiket', 'harga', 'relatif', 'murah', 'pusat', 'belah', 'bus', 'patok', 'harga', 'mahal', 'agen', 'main', 'harga', 'layan', 'kru', 'to', 'bandung']",apk muas calo tiket harga relatif murah pusat belah bus patok harga mahal agen main harga layan kru to bandung,Positif
"pihak rosalia indah tidak bertanggung jawab dan menyalahkan pelanggan. dua kali pemesanan via aplikasi tapi malah nomor armadanya ternyata tidak ada, padahal sudah menunggu 1 jam. bila memang tidak siap dengan pemesanan via aplikasi tolong hapus saja atau jangan disediakan. sangat merugikan pelanggan",1,0,,2025-09-21 03:14:45,pihak rosalia indah tidak bertanggung jawab dan menyalahkan pelanggan dua kali pemesanan via aplikasi tapi malah nomor armadanya ternyata tidak ada padahal sudah menunggu jam bila memang tidak siap dengan pemesanan via aplikasi tolong hapus saja atau jangan disediakan sangat merugikan pelanggan,"['pihak', 'rosalia', 'indah', 'tidak', 'bertanggung', 'jawab', 'dan', 'menyalahkan', 'pelanggan', 'dua', 'kali', 'pemesanan', 'via', 'aplikasi', 'tapi', 'malah', 'nomor', 'armadanya', 'ternyata', 'tidak', 'ada', 'padahal', 'sudah', 'menunggu', 'jam', 'bila', 'memang', 'tidak', 'siap', 'dengan', 'pemesanan', 'via', 'aplikasi', 'tolong', 'hapus', 'saja', 'atau', 'jangan', 'disediakan', 'sangat', 'merugikan', 'pelanggan']","['rosalia', 'indah', 'bertanggung', 'menyalahkan', 'pelanggan', 'pemesanan', 'via', 'aplikasi', 'nomor', 'armadanya', 'menunggu', 'jam', 'pemesanan', 'via', 'aplikasi', 'tolong', 'hapus', 'disediakan', 'merugikan', 'pelanggan']","['rosalia', 'indah', 'tanggung', 'salah', 'langgan', 'mesan', 'via', 'aplikasi', 'nomor', 'armada', 'tunggu', 'jam', 'mesan', 'via', 'aplikasi', 'tolong', 'hapus', 'sedia', 'rugi', 'langgan']",rosalia indah tanggung salah langgan mesan via aplikasi nomor armada tunggu jam mesan via aplikasi tolong hapus sedia rugi langgan,"['rosalia', 'indah', 'tanggung', 'salah', 'langgan', 'mesan', 'via', 'aplikasi', 'nomor', 'armada', 'tunggu', 'jam', 'mesan', 'via', 'aplikasi', 'tolong', 'hapus', 'sedia', 'rugi', 'langgan']",rosalia indah tanggung salah langgan mesan via aplikasi nomor armada tunggu jam mesan via aplikasi tolong hapus sedia rugi langgan,Negatif
mantap kalo bisa Adain rute Cilegon lasem,5,0,2.13.0,2025-09-18 23:33:47,mantap kalo bisa adain rute cilegon lasem,"['mantap', 'kalo', 'bisa', 'adain', 'rute', 'cilegon', 'lasem']","['mantap', 'kalo', 'adain', 'rute', 'cilegon', 'lasem']","['mantap', 'kalo', 'adain', 'rute', 'cilegon', 'lasem']",mantap kalo adain rute cilegon lasem,"['mantap', 'adain', 'rute', 'cilegon', 'lasem']",mantap adain rute cilegon lasem,Positif
Aplikasinya bagus. Tapi tolong paging di screen history nya dibenerin dong. saya mau Lihat history lama buat klaim tiket gratis. Kalo udah dibenerin nanti ku kasih bintang 5. Makasih,2,0,2.16.0,2025-09-15 18:01:52,aplikasinya bagus tapi tolong paging di screen history nya dibenerin dong saya mau lihat history lama buat klaim tiket gratis kalo udah dibenerin nanti ku kasih bintang makasih,"['aplikasinya', 'bagus', 'tapi', 'tolong', 'paging', 'di', 'screen', 'history', 'nya', 'dibenerin', 'dong', 'saya', 'mau', 'lihat', 'history', 'lama', 'buat', 'klaim', 'tiket', 'gratis', 'kalo', 'udah', 'dibenerin', 'nanti', 'ku', 'kasih', 'bintang', 'makasih']","['aplikasinya', 'bagus', 'tolong', 'paging', 'screen', 'history', 'dibenerin', 'history', 'klaim', 'tiket', 'gratis', 'kalo', 'udah', 'dibenerin', 'ku', 'kasih', 'bintang', 'makasih']","['aplikasi', 'bagus', 'tolong', 'paging', 'screen', 'history', 'dibenerin', 'history', 'klaim', 'tiket', 'gratis', 'kalo', 'udah', 'dibenerin', 'ku', 'kasih', 'bintang', 'makasih']",aplikasi bagus tolong paging screen history dibenerin history klaim tiket gratis kalo udah dibenerin ku kasih bintang makasih,"['aplikasi', 'bagus', 'tolong', 'paging', 'screen', 'history', 'dibenerin', 'history', 'klaim', 'tiket', 'gratis', 'dibenerin', 'ku', 'bintang', 'makasih']",aplikasi bagus tolong paging screen history dibenerin history klaim tiket gratis dibenerin ku bintang makasih,Negatif
"apknya tidak bisa login via nomor telpon,untuk developer segera diperbaiki",3,0,,2025-09-14 20:26:29,apknya tidak bisa login via nomor telponuntuk developer segera diperbaiki,"['apknya', 'tidak', 'bisa', 'login', 'via', 'nomor', 'telponuntuk', 'developer', 'segera', 'diperbaiki']","['apknya', 'login', 'via', 'nomor', 'telponuntuk', 'developer', 'diperbaiki']","['apknya', 'login', 'via', 'nomor', 'telponuntuk', 'developer', 'baik']",apknya login via nomor telponuntuk developer baik,"['apknya', 'login', 'via', 'nomor', 'telponuntuk', 'developer']",apknya login via nomor telponuntuk developer,Netral
"yg kelas eksekutif perlu di perhatikan, sering mengalami trouble. yg parah perjalanan dari jakarta ke arah timur pernah suspensinya keras, di perut sakit terguncang keras, dan waktu tempuh jadi molor. ampun dah",1,0,2.16.0,2025-09-13 06:36:46,yg kelas eksekutif perlu di perhatikan sering mengalami trouble yg parah perjalanan dari jakarta ke arah timur pernah suspensinya keras di perut sakit terguncang keras dan waktu tempuh jadi molor ampun dah,"['yg', 'kelas', 'eksekutif', 'perlu', 'di', 'perhatikan', 'sering', 'mengalami', 'trouble', 'yg', 'parah', 'perjalanan', 'dari', 'jakarta', 'ke', 'arah', 'timur', 'pernah', 'suspensinya', 'keras', 'di', 'perut', 'sakit', 'terguncang', 'keras', 'dan', 'waktu', 'tempuh', 'jadi', 'molor', 'ampun', 'dah']","['yg', 'kelas', 'eksekutif', 'perhatikan', 'mengalami', 'trouble', 'yg', 'parah', 'perjalanan', 'jakarta', 'arah', 'timur', 'suspensinya', 'keras', 'perut', 'sakit', 'terguncang', 'keras', 'waktu', 'tempuh', 'molor', 'ampun', 'dah']","['yg', 'kelas', 'eksekutif', 'perhati', 'alami', 'trouble', 'yg', 'parah', 'jalan', 'jakarta', 'arah', 'timur', 'suspensi', 'keras', 'perut', 'sakit', 'guncang', 'keras', 'waktu', 'tempuh', 'molor', 'ampun', 'dah']",yg kelas eksekutif perhati alami trouble yg parah jalan jakarta arah timur suspensi keras perut sakit guncang keras waktu tempuh molor ampun dah,"['kelas', 'eksekutif', 'perhati', 'alami', 'trouble', 'parah', 'jalan', 'jakarta', 'arah', 'timur', 'suspensi', 'keras', 'perut', 'sakit', 'guncang', 'keras', 'waktu', 'tempuh', 'molor', 'ampun', 'dah']",kelas eksekutif perhati alami trouble parah jalan jakarta arah timur suspensi keras perut sakit guncang keras waktu tempuh molor ampun dah,Negatif
pelayanan ramah,5,0,,2025-09-12 23:06:18,pelayanan ramah,"['pelayanan', 'ramah']","['pelayanan', 'ramah']","['layan', 'ramah']",layan ramah,"['layan', 'ramah']",layan ramah,Positif
llllo,5,0,,2025-09-12 21:26:17,llllo,['llllo'],['llllo'],['llllo'],llllo,['llllo'],llllo,Positif
"mohon untuk di perbaik lagii untuk app dulu tidak lemottt,,,,kenapa sekarang jadi sering lemottt sekaliiii",1,1,2.16.0,2025-09-10 18:35:12,mohon untuk di perbaik lagii untuk app dulu tidak lemotttkenapa sekarang jadi sering lemottt sekaliiii,"['mohon', 'untuk', 'di', 'perbaik', 'lagii', 'untuk', 'app', 'dulu', 'tidak', 'lemotttkenapa', 'sekarang', 'jadi', 'sering', 'lemottt', 'sekaliiii']","['perbaik', 'lagii', 'app', 'lemotttkenapa', 'lemottt', 'sekaliiii']","['baik', 'lagi', 'app', 'lemotttkenapa', 'lemottt', 'sekaliiii']",baik lagi app lemotttkenapa lemottt sekaliiii,"['app', 'lemotttkenapa', 'lemottt', 'sekaliiii']",app lemotttkenapa lemottt sekaliiii,Negatif
setiap mau cek harga tiket gak pernah muncul ..,1,0,2.16.0,2025-09-10 17:25:39,setiap mau cek harga tiket gak pernah muncul,"['setiap', 'mau', 'cek', 'harga', 'tiket', 'gak', 'pernah', 'muncul']","['cek', 'harga', 'tiket', 'gak', 'muncul']","['cek', 'harga', 'tiket', 'gak', 'muncul']",cek harga tiket gak muncul,"['cek', 'harga', 'tiket', 'muncul']",cek harga tiket muncul,Negatif
"bis nya bagus,bersih ,nyaman awak bis nya ramah2",5,0,2.16.0,2025-09-10 17:19:49,bis nya bagusbersih nyaman awak bis nya ramah,"['bis', 'nya', 'bagusbersih', 'nyaman', 'awak', 'bis', 'nya', 'ramah']","['bis', 'bagusbersih', 'nyaman', 'awak', 'bis', 'ramah']","['bis', 'bagusbersih', 'nyaman', 'awak', 'bis', 'ramah']",bis bagusbersih nyaman awak bis ramah,"['bis', 'bagusbersih', 'nyaman', 'awak', 'bis', 'ramah']",bis bagusbersih nyaman awak bis ramah,Positif
"kenapa untuk Cikopo tidak bisa order via aplikasi lagi, padahal saya sekeluarga ordernya dr Cikopo",1,0,,2025-09-10 14:28:49,kenapa untuk cikopo tidak bisa order via aplikasi lagi padahal saya sekeluarga ordernya dr cikopo,"['kenapa', 'untuk', 'cikopo', 'tidak', 'bisa', 'order', 'via', 'aplikasi', 'lagi', 'padahal', 'saya', 'sekeluarga', 'ordernya', 'dr', 'cikopo']","['cikopo', 'order', 'via', 'aplikasi', 'sekeluarga', 'ordernya', 'dr', 'cikopo']","['cikopo', 'order', 'via', 'aplikasi', 'keluarga', 'order', 'dr', 'cikopo']",cikopo order via aplikasi keluarga order dr cikopo,"['cikopo', 'order', 'via', 'aplikasi', 'keluarga', 'order', 'dr', 'cikopo']",cikopo order via aplikasi keluarga order dr cikopo,Negatif
