content,score,thumbsUpCount,reviewCreatedVersion,appVersion,at,cleaned_content
Good,5,0,2.18.0,2.18.0,2025-10-16 15:09:33,good
ok,5,0,2.16.0,2.16.0,2025-10-15 15:47:16,ok
saya ga bisa daftar . salalu gagal,1,0,,Unknown,2025-10-13 17:22:30,tidak daftar salalu gagal
Aplikasi sering eror,2,0,2.18.0,2.18.0,2025-10-13 13:54:38,aplikasi eror
GABISA DI BUKA APK NYA GAJE,1,0,2.18.0,2.18.0,2025-10-12 14:44:45,gabisa buka aplikasi gaje
"aplikasi dan website tidak bisa digunakan sudah berminggu² tapi tidak ada perbaikan. jaman sudah modern, masak mau kembali ke manual lagi beli tiket mesti ke agen.",1,1,2.18.0,2.18.0,2025-10-10 05:10:52,aplikasi website tidak minggu tidak baik jaman modern masak manual beli tiket mesti agen
"pengguna baru & baru aja klik masuk daftar, apk nya mudah untuk daftar acount,langsung terverfikasi semua,mulai dari no hp,email,alamat tinggal dll. hanya belum dicoba pesan tiket,persiapan saja, supaya lebih mudah,tanpa harus jalan ke agen.",5,0,,Unknown,2025-10-09 16:15:29,guna klik daftar aplikasi mudah daftar acountlangsung terverfikasi semuamulai no hpemailalamat tinggal dll coba pesan tiketpersiapan mudahtanpa jalan agen
"Gak bisa login, gak bisa daftar, gak bisa masuk pake cara apapun, stuck di menu login, daftar dan lainnya. Mungkin perlu diperbaiki, uninstall dulu, nunggu ada update",1,0,,Unknown,2025-10-09 06:01:34,tidak login tidak daftar tidak pake apa stuck menu login daftar baik uninstall nunggu update
bis telat & kursi dipindah2,1,0,2.18.0,2.18.0,2025-10-08 12:10:01,bis telat kursi pindah
Bayar Pakai QRIS ternyata ga bisa. Sudah coba hubungi cs kata cs nya QRIS lagi maintenance. Jadi suruh pakai pembayaran lain saja dan harus nunggu 1 jam agar bisa lanjut transaksi.,1,0,,Unknown,2025-10-07 13:12:31,bayar pakai qris tidak coba hubung cs cs qris maintenance suruh pakai bayar nunggu jam transaksi
